dataset,model,classes_subset,seed,method,nb_concepts,interpretation,prompt_type,specification,time,score,num_correct,num_valid,num_expected
E,B,"[0, 1, 2, 3, 4, 5]",0,baseline,18,topk,AB1,old_consim,2026-07-14T15:51:55.192259,0.25,5,20,20
E,B,"[0, 1, 2, 3, 4, 5]",0,baseline,18,topk,B1,old_consim,2026-07-14T15:51:55.192259,0.2,4,20,20
E,B,"[0, 1, 2, 3, 4, 5]",0,baseline,18,topk,AB2,old_consim,2026-07-14T15:51:55.192259,0.2,4,20,20
E,B,"[0, 1, 2, 3, 4, 5]",0,baseline,18,topk,B2,old_consim,2026-07-14T15:51:55.192259,0.3,6,20,20
E,B,"[0, 1, 2, 3, 4, 5]",0,BatchTopKSAE,18,topk,AC2,old_consim,2026-07-14T15:51:55.192259,0.4,4,10,10
E,B,"[0, 1, 2, 3, 4, 5]",0,BatchTopKSAE,18,topk,C2,old_consim,2026-07-14T15:51:55.192259,0.3,3,10,10
E,B,"[0, 1, 2, 3, 4, 5]",0,BatchTopKSAE,18,topk,AC1,old_consim,2026-07-14T15:51:55.192259,,0,0,10
E,B,"[0, 1, 2, 3, 4, 5]",0,BatchTopKSAE,18,topk,C1,old_consim,2026-07-14T15:51:55.192259,0.4,4,10,10
E,B,"[0, 1, 2, 3, 4, 5]",0,BatchTopKSAE,18,topk,AC3,old_consim,2026-07-14T15:51:55.192259,0.4,4,10,10
E,B,"[0, 1, 2, 3, 4, 5]",0,BatchTopKSAE,18,topk,C3,old_consim,2026-07-14T15:51:55.192259,0.3,3,10,10
E,B,"[0, 1, 2, 3, 4, 5]",1,baseline,18,topk,AB1,old_consim,2026-07-14T15:51:55.192259,0.2,4,20,20
E,B,"[0, 1, 2, 3, 4, 5]",1,baseline,18,topk,B1,old_consim,2026-07-14T15:51:55.192259,0.25,5,20,20
E,B,"[0, 1, 2, 3, 4, 5]",1,baseline,18,topk,AB2,old_consim,2026-07-14T15:51:55.192259,0.1,2,20,20
E,B,"[0, 1, 2, 3, 4, 5]",1,baseline,18,topk,B2,old_consim,2026-07-14T15:51:55.192259,0.3,6,20,20
E,B,"[0, 1, 2, 3, 4, 5]",1,BatchTopKSAE,18,topk,AC2,old_consim,2026-07-14T15:51:55.192259,0.2,2,10,10
E,B,"[0, 1, 2, 3, 4, 5]",1,BatchTopKSAE,18,topk,C2,old_consim,2026-07-14T15:51:55.192259,0.2,2,10,10
E,B,"[0, 1, 2, 3, 4, 5]",1,BatchTopKSAE,18,topk,AC1,old_consim,2026-07-14T15:51:55.192259,0.4,4,10,10
E,B,"[0, 1, 2, 3, 4, 5]",1,BatchTopKSAE,18,topk,C1,old_consim,2026-07-14T15:51:55.192259,0.4,4,10,10
E,B,"[0, 1, 2, 3, 4, 5]",1,BatchTopKSAE,18,topk,AC3,old_consim,2026-07-14T15:51:55.192259,0.3,3,10,10
E,B,"[0, 1, 2, 3, 4, 5]",1,BatchTopKSAE,18,topk,C3,old_consim,2026-07-14T15:51:55.192259,0.3,3,10,10
E,B,"[0, 1, 2, 3, 4, 5]",0,SemiNMF,18,topk,AC1,old_consim,2026-07-14T15:51:55.192259,0.15,3,20,20
E,B,"[0, 1, 2, 3, 4, 5]",0,SemiNMF,18,topk,C1,old_consim,2026-07-14T15:51:55.192259,0.35,7,20,20
E,B,"[0, 1, 2, 3, 4, 5]",0,SemiNMF,18,topk,AC2,old_consim,2026-07-14T15:51:55.192259,0.23529411764705882,4,17,20
E,B,"[0, 1, 2, 3, 4, 5]",0,SemiNMF,18,topk,C2,old_consim,2026-07-14T15:51:55.192259,0.35,7,20,20
E,B,"[0, 1, 2, 3, 4, 5]",0,SemiNMF,18,topk,AC3,old_consim,2026-07-14T15:51:55.192259,0.2,4,20,20
E,B,"[0, 1, 2, 3, 4, 5]",0,SemiNMF,18,topk,C3,old_consim,2026-07-14T15:51:55.192259,0.35,7,20,20
